GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037123204,1041,3.27
1400000U,6037123205,774,3.82
1400000U,6037123206,791,3
1400000U,6037123301,1651,2.46
1400000U,6037123303,879,3.45
1400000U,6037123304,1767,2.54
1400000U,6037123410,1216,2.8
1400000U,6037123420,1558,2.81
1400000U,6037123510,1602,2.98
1400000U,6037123520,763,3.43
1400000U,6037123601,1915,2.6
1400000U,6037123602,1195,2.67
1400000U,6037123700,1698,2.47
1400000U,6037123800,2255,2.51
1400000U,6037123901,1394,2.84
1400000U,6037123902,1112,2.4
1400000U,6037124000,2174,2.04
1400000U,6037124102,1457,2.5
1400000U,6037124103,567,3.19
1400000U,6037124104,1053,2.62
1400000U,6037124105,840,2.68
1400000U,6037124201,1061,3.61
1400000U,6037124203,772,2.59
1400000U,6037124204,934,2.31
1400000U,6037124300,1196,2.41
1400000U,6037124400,1660,2.71
1400000U,6037124500,1216,2.22
1400000U,6037124600,1252,2.08
1400000U,6037124700,2452,2.15
1400000U,6037124902,1537,2.13
1400000U,6037124903,1601,2.21
1400000U,6037125101,2113,1.88
1400000U,6037125102,834,2.31
1400000U,6037125200,1874,2.05
1400000U,6037125310,1962,1.8
1400000U,6037125321,1409,1.96
1400000U,6037125322,1417,1.4
1400000U,6037125402,2068,2.13
1400000U,6037125403,1412,1.82
1400000U,6037125404,1619,1.78
1400000U,6037125501,1541,1.86
1400000U,6037125502,1942,1.87
1400000U,6037125600,1273,2.31
1400000U,6037127102,1543,3.19
1400000U,6037127103,1288,2.61
1400000U,6037127104,1397,3.14
1400000U,6037127210,1883,2.99
1400000U,6037127220,1697,3.07
1400000U,6037127300,1381,2.77
1400000U,6037127400,1914,3.05
1400000U,6037127520,1497,3.13
1400000U,6037127603,925,3.01
1400000U,6037127604,1443,2.18
1400000U,6037127605,1171,3.19
1400000U,6037127606,1083,2.86
1400000U,6037127711,1135,2.83
1400000U,6037127712,1524,2.51
1400000U,6037127803,1622,3.04
1400000U,6037127804,1632,2.89
1400000U,6037127805,1206,2.67
1400000U,6037127806,1261,2.84
1400000U,6037127910,1513,3.18
1400000U,6037127920,1496,3.09
1400000U,6037128101,1076,2.69
1400000U,6037128102,1600,2.94
1400000U,6037128210,1628,3.24
1400000U,6037128220,1210,2.34
1400000U,6037128302,1463,3.09
1400000U,6037128303,1117,3.06
1400000U,6037128400,1829,2.32
1400000U,6037128500,2091,1.94
1400000U,6037128601,1733,2.89
1400000U,6037128602,1278,2.22
1400000U,6037128703,1631,1.92
1400000U,6037128704,958,2.44
1400000U,6037128801,1969,1.9
1400000U,6037128802,1964,2.13
1400000U,6037128910,1870,2.54
1400000U,6037131021,1016,3.36
1400000U,6037131022,1029,2.82
1400000U,6037131023,824,3.36
1400000U,6037131024,1088,3.64
1400000U,6037131100,1083,3.08
1400000U,6037131200,1216,3.06
1400000U,6037131300,1196,3.74
1400000U,6037131400,1816,3.28
1400000U,6037131600,1320,3.91
1400000U,6037131701,1864,2.84
1400000U,6037131702,1258,3.15
1400000U,6037131801,992,3.02
1400000U,6037131802,764,3.25
1400000U,6037131900,1357,3.14
1400000U,6037132001,1197,2.46
1400000U,6037132002,1184,3.12
1400000U,6037132101,1568,2.75
1400000U,6037132102,2101,2.51
1400000U,6037132301,1353,2.73
1400000U,6037132302,958,3.32
1400000U,6037132501,1292,3.29
1400000U,6037132502,1277,2.72
1400000U,6037132700,1655,2.91
1400000U,6037132900,1264,2.79
1400000U,6037133000,1413,2.92
1400000U,6037133101,642,2.82
1400000U,6037133102,1360,2.58
1400000U,6037134001,946,3.92
1400000U,6037134002,1196,3.15
1400000U,6037134101,1348,4.01
1400000U,6037134103,1316,3.37
1400000U,6037134104,1301,3.38
1400000U,6037134201,1306,3.31
1400000U,6037134302,1391,3.06
1400000U,6037134303,1924,2.85
1400000U,6037134304,933,2.91
1400000U,6037134305,1212,3.17
1400000U,6037134306,1430,2.65
1400000U,6037134421,1514,2.83
1400000U,6037134422,1556,3.13
1400000U,6037134423,1323,2.45
1400000U,6037134424,1030,2.74
1400000U,6037134520,1904,2.74
1400000U,6037134521,770,3.82
1400000U,6037134522,1451,3.26
1400000U,6037134710,1582,3.49
1400000U,6037134720,1769,2.9
