GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037232602,1346,4.11
1400000U,6037232701,538,4.54
1400000U,6037232702,1007,4.53
1400000U,6037232800,936,4.73
1400000U,6037234001,977,2.4
1400000U,6037234002,1073,2.81
1400000U,6037234200,1132,2.26
1400000U,6037234301,999,1.69
1400000U,6037234302,1402,1.74
1400000U,6037234501,878,3.24
1400000U,6037234502,1125,2.4
1400000U,6037234600,1621,2.94
1400000U,6037234700,1241,2.97
1400000U,6037234800,1139,3
1400000U,6037234901,1250,2.17
1400000U,6037234902,2016,2.17
1400000U,6037235100,1749,2.33
1400000U,6037235201,969,2.88
1400000U,6037235202,1688,2.29
1400000U,6037236001,1961,2.15
1400000U,6037236101,1274,1.88
1400000U,6037236102,1849,1.93
1400000U,6037236203,1484,2.51
1400000U,6037236204,1199,2.48
1400000U,6037236205,1260,2.72
1400000U,6037236206,1280,2.33
1400000U,6037236400,2072,2.19
1400000U,6037237101,959,3.99
1400000U,6037237102,994,4.06
1400000U,6037237201,1003,4.11
1400000U,6037237202,1250,3.7
1400000U,6037237300,1826,3.31
1400000U,6037237401,1061,4.08
1400000U,6037237402,1042,3.71
1400000U,6037237500,760,3.66
1400000U,6037237600,1171,3.42
1400000U,6037237710,1075,4.13
1400000U,6037237720,924,4.09
1400000U,6037237800,1173,3.25
1400000U,6037237900,1364,3.02
1400000U,6037238000,2215,2.49
1400000U,6037238100,2127,2.36
1400000U,6037238200,2189,2.81
1400000U,6037238310,1370,3.86
1400000U,6037238320,1125,3.1
1400000U,6037238400,1766,2.86
1400000U,6037239201,839,4.24
1400000U,6037239202,1213,4.63
1400000U,6037239310,924,4.33
1400000U,6037239320,789,3.88
1400000U,6037239330,738,4.03
1400000U,6037239501,985,3.69
1400000U,6037239502,836,4.33
1400000U,6037239601,917,3.99
1400000U,6037239602,897,4.37
1400000U,6037239701,1093,4.12
1400000U,6037239702,1118,4.05
1400000U,6037239801,953,4.26
1400000U,6037239802,1330,4.33
1400000U,6037240010,1034,3.76
1400000U,6037240020,1282,4.07
1400000U,6037240200,1490,4.21
1400000U,6037240301,912,3.26
1400000U,6037240302,704,4.03
1400000U,6037240401,1579,4.05
1400000U,6037240402,1133,3.76
1400000U,6037240500,1665,4.03
1400000U,6037240600,1199,4.52
1400000U,6037240700,1633,3.87
1400000U,6037240800,1077,4.12
1400000U,6037240901,562,4.82
1400000U,6037240902,759,4.81
1400000U,6037241001,1122,4.14
1400000U,6037241002,986,3.82
1400000U,6037241110,831,4.6
1400000U,6037241120,1254,3.25
1400000U,6037241201,932,3.44
1400000U,6037241202,1635,3.22
1400000U,6037241300,722,3.28
1400000U,6037241400,947,4.18
1400000U,6037242000,1167,3.47
1400000U,6037242100,744,3.6
1400000U,6037242201,1008,3.98
1400000U,6037242202,758,3.85
1400000U,6037242300,1292,3.86
1400000U,6037242600,1373,3.41
1400000U,6037242700,1288,3.83
1400000U,6037243001,765,4.41
1400000U,6037243002,582,4.89
1400000U,6037243100,1516,3.53
1400000U,6037261102,1382,2.53
1400000U,6037261103,719,2.46
1400000U,6037261104,622,2.49
1400000U,6037261200,1606,2.47
1400000U,6037262100,1001,2.45
1400000U,6037262200,1697,2.51
1400000U,6037262301,828,2.64
1400000U,6037262302,1316,2.15
1400000U,6037262303,1042,2.63
1400000U,6037262400,1068,2.7
1400000U,6037262501,1328,2.79
1400000U,6037262601,1238,2.69
1400000U,6037262604,2177,2.64
1400000U,6037262704,1532,2.32
1400000U,6037262706,1266,2.75
1400000U,6037262802,1441,2.44
1400000U,6037264000,1211,2.45
1400000U,6037264102,1654,1.7
1400000U,6037264103,1549,1.79
1400000U,6037264303,1515,1.79
1400000U,6037264304,1310,1.8
1400000U,6037264305,1812,2.43
1400000U,6037264306,862,1.98
1400000U,6037265100,1280,1.89
1400000U,6037265201,837,2.39
1400000U,6037265203,1069,1.86
1400000U,6037265204,681,2.24
1400000U,6037265301,0,-
1400000U,6037265303,1513,3.13
1400000U,6037265304,941,2.4
1400000U,6037265306,471,2.73
1400000U,6037265307,1038,1.67
1400000U,6037265410,642,2.59
1400000U,6037265420,607,2.43
1400000U,6037265521,1083,1.45
1400000U,6037265522,970,2.14
1400000U,6037265523,1309,1.67
1400000U,6037265524,1308,2.19
1400000U,6037265601,1402,2.09
1400000U,6037265602,1542,1.89
1400000U,6037265701,812,2.13
1400000U,6037265702,1510,1.98
1400000U,6037267101,1411,2.22
1400000U,6037267102,1524,1.92
1400000U,6037267201,1359,2.04
1400000U,6037267202,1633,2.24
1400000U,6037267300,2051,1.83
1400000U,6037267403,1853,1.91
1400000U,6037267404,1584,2.1
1400000U,6037267405,1375,1.78
1400000U,6037267406,1069,1.79
1400000U,6037267502,1649,1.96
1400000U,6037267503,1167,1.85
1400000U,6037267504,1817,1.87
1400000U,6037267600,1283,1.9
1400000U,6037267700,1904,2.04
1400000U,6037267800,1556,1.95
1400000U,6037267901,1708,1.54
1400000U,6037267902,1692,2.1
1400000U,6037269000,2051,2.2
1400000U,6037269100,1574,2.68
1400000U,6037269300,1395,2.7
1400000U,6037269500,1298,2.97
1400000U,6037269601,1034,3.4
1400000U,6037269602,905,2.62
1400000U,6037269700,1493,2.52
1400000U,6037269800,1494,2.04
1400000U,6037269903,1787,1.76
1400000U,6037269905,1356,1.64
1400000U,6037269906,1612,2.06
1400000U,6037269907,1297,1.89
1400000U,6037269908,1275,1.45
1400000U,6037269909,1184,1.65
1400000U,6037270101,1184,1.63
1400000U,6037270102,1093,2.01
1400000U,6037270200,1280,2.71
1400000U,6037270300,1137,2.44
1400000U,6037271100,880,2.72
1400000U,6037271200,1125,2.01
1400000U,6037271300,2103,2.44
1400000U,6037271400,1311,2.49
1400000U,6037271500,1309,2.22
1400000U,6037271600,2071,2.31
1400000U,6037271702,1846,2.07
1400000U,6037271703,1335,2.07
1400000U,6037271704,1334,2.23
1400000U,6037271801,1572,1.94
1400000U,6037271803,1595,2.03
1400000U,6037271804,1024,2.32
1400000U,6037271901,1365,2.27
1400000U,6037271902,1869,2.04
1400000U,6037272100,1840,2.37
1400000U,6037272201,997,1.98
1400000U,6037272202,1589,1.95
1400000U,6037272301,1380,2.21
1400000U,6037272302,1875,2
1400000U,6037273100,1233,2.14
1400000U,6037273200,1422,2.03
1400000U,6037273300,1403,2.15
1400000U,6037273403,860,1.39
1400000U,6037273404,1173,1.2
1400000U,6037273502,1660,1.57
1400000U,6037273600,1119,1.88
1400000U,6037273700,1183,2.36
1400000U,6037273800,1475,2.02
1400000U,6037273902,2172,1.81
1400000U,6037274100,2132,1.98
1400000U,6037274202,2172,1.76
1400000U,6037275101,441,2.2
1400000U,6037275102,1315,3.23
1400000U,6037275200,1631,2.29
1400000U,6037275311,2592,1.92
1400000U,6037275312,1034,1.93
1400000U,6037275313,1689,1.95
1400000U,6037275400,2333,1.78
1400000U,6037275500,1767,2.71
1400000U,6037275603,1226,2.3
1400000U,6037275604,4770,2.1
1400000U,6037275605,1622,1.66
1400000U,6037276000,2941,2.25
1400000U,6037276101,1764,1.69
1400000U,6037276102,1606,2.02
1400000U,6037276400,1463,2.99
1400000U,6037276500,732,2.84
1400000U,6037276601,1666,2.48
1400000U,6037276605,1277,1.85
1400000U,6037276606,1801,1.66
1400000U,6037276607,1426,1.94
1400000U,6037276608,1111,1.84
1400000U,6037277000,2139,2.78
1400000U,6037277100,1085,2.89
1400000U,6037277200,938,1.97
1400000U,6037277400,0,-
1400000U,6037278001,1046,2.11
1400000U,6037278102,1468,2.12
1400000U,6037291110,1361,3.31
1400000U,6037291120,631,3.45
1400000U,6037291130,991,3.52
1400000U,6037291210,1689,2.76
1400000U,6037291220,1067,2.81
1400000U,6037291300,1104,2.84
1400000U,6037292001,1358,3.11
1400000U,6037292002,536,3.65
1400000U,6037293203,1029,2.83
1400000U,6037293204,1039,3.49
1400000U,6037293205,1065,3.25
1400000U,6037293206,784,3.6
1400000U,6037293301,952,2.81
1400000U,6037293302,1617,2.81
1400000U,6037293304,1584,3.35
1400000U,6037293306,836,2.63
1400000U,6037293307,903,2.96
1400000U,6037294110,1066,3.69
1400000U,6037294120,616,4.56
1400000U,6037294200,1384,3.37
1400000U,6037294301,644,4.24
1400000U,6037294302,1221,3.67
1400000U,6037294410,1587,3.29
1400000U,6037294421,985,2.81
1400000U,6037294510,1145,3.58
1400000U,6037294520,913,3.93
1400000U,6037294610,1163,3.45
1400000U,6037294620,1046,4.04
1400000U,6037294701,960,2.83
1400000U,6037294810,1030,3.81
1400000U,6037294820,942,3.49
1400000U,6037294830,1045,3.99
1400000U,6037294900,1008,3.79
1400000U,6037295103,2085,2.57
1400000U,6037296210,1122,3.21
1400000U,6037296220,1768,2.34
1400000U,6037296300,1890,2.58
1400000U,6037296401,1274,2.36
1400000U,6037296402,1175,2.84
1400000U,6037296500,1212,3.03
1400000U,6037296600,2141,2.44
1400000U,6037296901,1549,2.9
1400000U,6037296902,1600,2.76
1400000U,6037297001,611,2.72
1400000U,6037297002,1717,2.55
1400000U,6037297110,1597,2.5
1400000U,6037297120,1099,2.82
1400000U,6037297201,1428,2.71
1400000U,6037297202,1598,2.57
1400000U,6037297300,778,2.72
1400000U,6037297400,1627,1.94
1400000U,6037297501,1027,2.64
1400000U,6037297502,1030,2.64
1400000U,6037297601,1301,2.62
1400000U,6037297602,1654,2.04
1400000U,6037300100,2171,3.16
1400000U,6037300200,1855,2.9
1400000U,6037300301,1982,3.22
1400000U,6037300400,1831,3.13
1400000U,6037300501,1007,2.77
1400000U,6037300503,2226,2.27
1400000U,6037300601,2114,2.81
1400000U,6037300602,1277,2.5
1400000U,6037300701,2028,2.46
1400000U,6037300702,2056,2.86
1400000U,6037300800,2671,2.65
1400000U,6037300901,2031,2.6
1400000U,6037300902,740,2.76
1400000U,6037301000,2031,2.7
1400000U,6037301100,2802,2.54
1400000U,6037301203,1747,2.31
1400000U,6037301204,2179,2.25
1400000U,6037301205,685,3.06
1400000U,6037301206,1833,2.91
1400000U,6037301300,679,2.9
1400000U,6037301400,1267,3
1400000U,6037301501,529,3.31
1400000U,6037301502,2372,3.05
1400000U,6037301601,2267,2.36
1400000U,6037301602,1548,2.46
1400000U,6037301701,1007,2.76
1400000U,6037301702,2135,2.83
1400000U,6037301801,2511,2.16
1400000U,6037301802,2363,2.32
1400000U,6037301901,1774,2.41
1400000U,6037301902,1046,3.03
1400000U,6037302002,1810,2.15
1400000U,6037302003,1517,2.41
1400000U,6037302004,1562,2.6
1400000U,6037302102,2344,2.5
1400000U,6037302103,1898,2.68
1400000U,6037302104,1391,2.54
1400000U,6037302201,1800,2.1
1400000U,6037302202,1941,2.64
1400000U,6037302301,1374,2.56
1400000U,6037302302,1829,2.88
1400000U,6037302401,2721,2.63
1400000U,6037302503,1471,2.64
1400000U,6037302504,1360,2.78
1400000U,6037302505,1416,2.81
1400000U,6037302506,1165,2.74
1400000U,6037310100,1909,2.72
1400000U,6037310201,2006,2.64
1400000U,6037310202,1861,2.67
1400000U,6037310300,1126,2.74
1400000U,6037310400,1245,2.77
1400000U,6037310501,1598,2.33
1400000U,6037310601,2501,2.56
1400000U,6037310602,1164,2.4
1400000U,6037310701,1168,2
1400000U,6037310703,1994,2.52
1400000U,6037310704,2280,1.88
1400000U,6037310705,1403,1.76
1400000U,6037310800,2341,2.41
1400000U,6037310900,2498,2.74
1400000U,6037311000,1473,2.67
1400000U,6037311100,1493,2.77
1400000U,6037311200,1265,2.44
1400000U,6037311300,1662,2.46
1400000U,6037311400,1010,2.35
1400000U,6037311500,2420,2.63
1400000U,6037311601,825,3.05
1400000U,6037311602,2428,1.76
1400000U,6037311700,2727,2.16
1400000U,6037311801,1314,2.25
1400000U,6037311802,1638,2.75
1400000U,6037320101,953,3.62
1400000U,6037320102,928,4.08
1400000U,6037320201,1083,3.83
1400000U,6037320202,1449,4.28
1400000U,6037320300,1916,3.27
1400000U,6037400205,872,2.83
1400000U,6037400206,1843,3.12
1400000U,6037400207,1488,3.12
1400000U,6037400208,495,2.75
1400000U,6037400209,1616,2.72
1400000U,6037400304,2835,2.82
1400000U,6037400402,1332,3.05
1400000U,6037400403,1419,3.03
1400000U,6037400404,1348,3.09
1400000U,6037400501,609,2.88
1400000U,6037400602,1400,3.45
1400000U,6037400603,1815,2.75
1400000U,6037400605,2403,2.5
1400000U,6037400801,1917,2.96
1400000U,6037401001,962,2.8
1400000U,6037401002,1613,2.75
1400000U,6037401101,1880,2.91
1400000U,6037401102,1336,3.12
1400000U,6037401201,1021,3.48
1400000U,6037401202,1320,3.05
1400000U,6037401203,1589,3.1
1400000U,6037401303,776,2.93
1400000U,6037401304,1827,2.87
1400000U,6037401311,2403,2.82
1400000U,6037401312,1883,2.58
1400000U,6037401500,1861,2.99
1400000U,6037401601,2315,2.26
1400000U,6037401602,2147,2.62
1400000U,6037401705,968,3.1
1400000U,6037401706,1612,2.7
1400000U,6037401707,2740,2.93
1400000U,6037401801,1598,2.59
1400000U,6037401802,1387,2.58
1400000U,6037401901,110,2.24
1400000U,6037401902,2984,2.02
1400000U,6037402001,1450,2.74
1400000U,6037402002,1687,2.34
1400000U,6037402101,1081,4.3
1400000U,6037402102,1325,3.9
1400000U,6037402200,2089,3.14
1400000U,6037402301,1395,3.63
1400000U,6037402303,1022,3.67
1400000U,6037402304,1020,4.02
1400000U,6037402403,1102,3.9
1400000U,6037402404,0,-
1400000U,6037402405,560,3.93
1400000U,6037402406,1282,3.68
1400000U,6037402501,1357,3.58
1400000U,6037402503,1122,3.75
1400000U,6037402504,790,3.18
1400000U,6037402601,743,3.75
1400000U,6037402602,1885,2.52
1400000U,6037402702,1386,3.58
1400000U,6037402703,1342,4.02
1400000U,6037402705,865,4.07
1400000U,6037402706,964,3.71
1400000U,6037402801,1136,4.22
1400000U,6037402803,756,4.72
1400000U,6037402804,1005,4.34
1400000U,6037402902,1730,3.8
1400000U,6037402903,986,3.61
1400000U,6037402904,879,4.17
1400000U,6037403000,1615,4.2
1400000U,6037403305,687,3.13
1400000U,6037403316,2587,2.71
1400000U,6037403317,1654,3.01
1400000U,6037403318,2107,2.96
1400000U,6037403319,1612,2.56
1400000U,6037403320,1641,3.16
1400000U,6037403321,1731,3.17
1400000U,6037403323,1735,3.17
1400000U,6037403324,2120,3.09
1400000U,6037403325,1550,3.14
1400000U,6037403326,678,3.56
1400000U,6037403327,822,2.94
1400000U,6037403328,1693,3.18
1400000U,6037403401,1453,3.37
1400000U,6037403402,992,3.31
1400000U,6037403403,1664,3.14
1400000U,6037403404,656,3.55
1400000U,6037403407,629,3.49
1400000U,6037403408,1951,3.15
1400000U,6037403409,1271,3.23
1400000U,6037403500,532,2.81
1400000U,6037403601,2136,3.27
1400000U,6037403702,1287,3.15
1400000U,6037403703,1506,2.97
1400000U,6037403721,1777,3.06
1400000U,6037403722,1678,3.23
1400000U,6037403801,2113,2.68
1400000U,6037403802,2164,2.98
1400000U,6037403901,890,3.4
1400000U,6037403902,1490,3.16
1400000U,6037404000,1352,3.43
1400000U,6037404100,1480,4.23
1400000U,6037404201,983,3.45
1400000U,6037404203,880,3.74
1400000U,6037404301,1503,3.94
1400000U,6037404302,640,3.44
1400000U,6037404401,1054,3.61
1400000U,6037404402,1170,3.89
1400000U,6037404501,725,3.84
1400000U,6037404503,829,3.43
1400000U,6037404504,1438,3.68
1400000U,6037404600,443,3.03
1400000U,6037404701,1366,4.13
1400000U,6037404702,1379,3.49
1400000U,6037404703,724,4.4
1400000U,6037404804,1085,4.08
1400000U,6037404805,749,3.97
1400000U,6037404806,1519,3.74
1400000U,6037404901,1336,4.21
1400000U,6037404902,870,3.84
1400000U,6037404903,633,3.98
1400000U,6037405001,1357,4.13
1400000U,6037405002,737,4.54
1400000U,6037405101,1260,3.98
1400000U,6037405102,1452,3.34
1400000U,6037405201,1443,3.67
1400000U,6037405202,1127,4.1
1400000U,6037405203,697,4.34
1400000U,6037405301,970,3.19
1400000U,6037405302,1610,3.5
1400000U,6037405400,1235,3.85
1400000U,6037405500,1834,3.45
1400000U,6037405600,1706,3.28
1400000U,6037405701,1067,3.6
1400000U,6037405702,1488,3.54
1400000U,6037405800,1714,3.26
1400000U,6037405900,1285,3.26
1400000U,6037406000,1533,3.43
1400000U,6037406101,1222,2.49
1400000U,6037406103,2720,2.94
1400000U,6037406201,1265,2.76
1400000U,6037406300,1877,3.26
1400000U,6037406413,2088,3.09
1400000U,6037406500,1981,3.85
1400000U,6037406601,1470,3.31
1400000U,6037406602,1258,3.83
1400000U,6037406701,937,3.56
1400000U,6037406702,2101,2.98
1400000U,6037406801,1317,3.66
1400000U,6037406903,2134,3.61
1400000U,6037407001,1241,4.81
1400000U,6037407002,718,4.83
1400000U,6037407101,1112,4.15
1400000U,6037407102,1306,4.05
1400000U,6037407201,838,4.24
1400000U,6037407202,766,3.96
1400000U,6037407301,927,4.17
1400000U,6037407302,793,4.31
1400000U,6037407400,536,3.66
1400000U,6037407501,968,4.02
1400000U,6037407502,833,4.81
1400000U,6037407601,1050,3.74
1400000U,6037407602,1045,3.95
1400000U,6037407701,1091,3.99
1400000U,6037407702,1783,3.71
1400000U,6037407801,1012,5.07
1400000U,6037407802,770,4.37
1400000U,6037407901,897,4.81
1400000U,6037407902,507,3.01
1400000U,6037408003,1212,3.95
1400000U,6037408004,836,2.99
1400000U,6037408005,1690,3.09
1400000U,6037408006,1025,3.59
1400000U,6037408133,1682,3.66
1400000U,6037408134,840,3.3
1400000U,6037408135,1345,3.15
1400000U,6037408136,977,3.69
1400000U,6037408137,1430,2.92
1400000U,6037408138,1228,4.1
1400000U,6037408139,878,5.21
1400000U,6037408140,819,4.43
1400000U,6037408141,998,4.69
1400000U,6037408212,1375,3.33
1400000U,6037408213,1768,3.31
1400000U,6037408301,1561,3.75
1400000U,6037408302,1009,3.56
1400000U,6037408303,1256,3.58
1400000U,6037408401,1256,3.52
1400000U,6037408402,1957,3.32
1400000U,6037408503,1973,3.56
1400000U,6037408504,1428,3.67
1400000U,6037408505,728,3.44
1400000U,6037408623,994,3.25
1400000U,6037408624,997,3.03
1400000U,6037408625,1284,2.96
1400000U,6037408626,1349,2.73
1400000U,6037408627,861,3.32
1400000U,6037408628,1848,2.88
1400000U,6037408629,932,3.2
1400000U,6037408631,1436,3.61
1400000U,6037408703,1774,3.24
1400000U,6037408705,1849,2.99
1400000U,6037408707,2137,3.1
1400000U,6037408722,1260,3.3
1400000U,6037408724,1612,3.33
1400000U,6037408725,1896,3.18
1400000U,6037408800,1785,2.51
1400000U,6037408900,2409,2.38
1400000U,6037409000,2168,3.21
1400000U,6037409100,1385,3.95
1400000U,6037430003,1616,3
1400000U,6037430004,1067,2.81
1400000U,6037430005,1285,3
1400000U,6037430101,1896,2.4
1400000U,6037430102,1272,3.93
1400000U,6037430200,457,2.15
1400000U,6037430301,1643,2.69
1400000U,6037430302,2099,2.4
1400000U,6037430400,1441,3.02
1400000U,6037430501,1872,2.45
1400000U,6037430502,3146,2.08
1400000U,6037430600,1432,3.19
1400000U,6037430701,1904,2.7
1400000U,6037430721,1294,2.53
1400000U,6037430723,1880,2.64
1400000U,6037430724,1924,2.62
1400000U,6037430801,2219,3.09
1400000U,6037430802,1329,3.16
1400000U,6037430803,1845,2.72
1400000U,6037430901,1521,2.89
1400000U,6037430902,1888,2.76
1400000U,6037431002,1216,2.39
1400000U,6037431003,1536,3.06
1400000U,6037431004,1196,2.89
1400000U,6037431100,2345,3.01
1400000U,6037431200,1541,3.95
1400000U,6037431300,845,3.01
1400000U,6037431400,1322,2.82
1400000U,6037431501,1545,2.6
1400000U,6037431502,1416,3.09
1400000U,6037431600,1315,2.86
1400000U,6037431701,2099,3.02
1400000U,6037431800,1814,2.52
1400000U,6037431900,1363,2.65
1400000U,6037432001,614,2.99
1400000U,6037432002,1882,2.83
1400000U,6037432101,1426,3.35
1400000U,6037432102,1753,3.27
1400000U,6037432201,1339,3.23
1400000U,6037432202,1135,3.45
1400000U,6037432300,1135,3.45
1400000U,6037432401,1040,3.71
1400000U,6037432402,1619,3.33
1400000U,6037432501,1321,3.23
1400000U,6037432502,958,4.2
1400000U,6037432601,1836,3.53
1400000U,6037432602,1143,3.91
1400000U,6037432700,1398,3.42
1400000U,6037432801,843,2.85
1400000U,6037432802,1496,3.69
1400000U,6037432901,1141,3.5
1400000U,6037432902,796,3.68
1400000U,6037433103,1916,3.72
1400000U,6037433200,1670,3.44
1400000U,6037433302,495,3.72
1400000U,6037433304,1195,3.41
1400000U,6037433305,1278,3.56
1400000U,6037433306,816,3.64
1400000U,6037433307,825,3.37
1400000U,6037433402,1189,3.83
1400000U,6037433403,1257,4.09
1400000U,6037433505,1113,3.85
1400000U,6037433506,1069,3.59
1400000U,6037433601,1310,3.89
1400000U,6037433602,801,3.44
1400000U,6037433803,858,3.69
1400000U,6037433804,1058,4.39
1400000U,6037433901,1378,3.87
1400000U,6037433903,1447,3.56
1400000U,6037434001,1017,4.3
1400000U,6037434003,952,4.06
1400000U,6037434004,710,4.38
1400000U,6037434100,1587,3.84
1400000U,6037460001,651,2.95
1400000U,6037460002,1071,2.58
1400000U,6037460101,2313,2.5
1400000U,6037460200,1836,3.08
1400000U,6037460301,1443,3.3
1400000U,6037460302,1612,2.58
1400000U,6037460401,358,2.79
1400000U,6037460501,1737,3.05
1400000U,6037460502,1467,3.24
1400000U,6037460601,1709,3.04
1400000U,6037460700,1538,3.29
1400000U,6037460800,1174,2.44
1400000U,6037460900,1981,3.24
1400000U,6037461000,1547,3.68
1400000U,6037461100,1778,2.74
1400000U,6037461200,1618,2.6
1400000U,6037461300,2461,2.59
1400000U,6037461400,1167,2.3
1400000U,6037461501,1311,2.73
1400000U,6037461502,1769,2.78
1400000U,6037461600,1769,3.09
1400000U,6037461700,627,2.19
1400000U,6037461901,1693,2.8
1400000U,6037461902,1234,1.5
1400000U,6037462001,1237,3.42
1400000U,6037462002,1111,3.43
1400000U,6037462100,1724,2.71
1400000U,6037462201,1938,2
1400000U,6037462202,1632,1.69
1400000U,6037462301,1797,2.5
1400000U,6037462302,1579,2.03
1400000U,6037462400,1425,2.66
1400000U,6037462500,2550,2.53
1400000U,6037462600,903,2.58
1400000U,6037462700,2372,2.3
1400000U,6037462800,1110,2.58
1400000U,6037462900,1452,2.61
1400000U,6037463000,1078,2.54
1400000U,6037463103,1942,2.8
1400000U,6037463200,1466,2.28
1400000U,6037463300,870,2.22
1400000U,6037463400,2469,2.25
1400000U,6037463500,2423,2.09
1400000U,6037463601,3319,1.69
1400000U,6037463602,3359,1.65
1400000U,6037463700,1704,2.04
1400000U,6037463800,1516,2.62
1400000U,6037463900,1387,2.15
1400000U,6037464000,2440,2.19
1400000U,6037464101,772,2.61
1400000U,6037464102,1205,3.74
1400000U,6037464200,1939,2.99
1400000U,6037480002,1296,2.99
1400000U,6037480011,1754,2.93
1400000U,6037480012,1688,2.9
1400000U,6037480101,1337,3.15
1400000U,6037480102,1313,3.03
1400000U,6037480201,1206,2.94
1400000U,6037480202,1028,2.68
1400000U,6037480302,1739,2.46
1400000U,6037480303,1535,2.86
1400000U,6037480304,1785,2.39
1400000U,6037480400,2256,2.41
1400000U,6037480500,2155,2.51
1400000U,6037480601,1654,2.53
1400000U,6037480602,1671,2.4
1400000U,6037480702,1608,2.84
1400000U,6037480703,1351,3.08
1400000U,6037480704,1835,2.24
1400000U,6037480802,1123,2.84
1400000U,6037480803,1174,2.68
1400000U,6037480804,1798,2.61
1400000U,6037480901,1600,2.61
1400000U,6037480902,1369,3.15
1400000U,6037480903,1074,2.89
1400000U,6037481001,1771,2.47
1400000U,6037481002,2086,2.67
1400000U,6037481101,1389,2.72
1400000U,6037481102,1304,2.74
1400000U,6037481103,1779,2.92
1400000U,6037481201,1308,3.22
1400000U,6037481203,1885,3.27
1400000U,6037481300,867,3.84
1400000U,6037481401,1622,3.19
1400000U,6037481403,877,3.77
1400000U,6037481404,1188,3.3
1400000U,6037481500,1523,2.73
1400000U,6037481603,1190,2.89
1400000U,6037481604,1384,2.88
1400000U,6037481605,996,2.82
1400000U,6037481606,1655,3.02
1400000U,6037481711,1364,3.23
1400000U,6037481712,1702,3.04
1400000U,6037481713,989,2.91
1400000U,6037481714,973,2.82
1400000U,6037481800,842,2.73
1400000U,6037481901,2018,2.79
1400000U,6037481902,1136,2.87
1400000U,6037482001,957,2.78
1400000U,6037482002,2551,2.82
1400000U,6037482101,1488,2.94
1400000U,6037482102,1095,2.9
1400000U,6037482201,1351,2.87
1400000U,6037482202,1660,3.03
1400000U,6037482301,1248,4.14
1400000U,6037482303,1397,3.63
1400000U,6037482304,745,3.73
1400000U,6037482401,1003,3.59
1400000U,6037482403,887,3.58
1400000U,6037482404,1218,2.75
1400000U,6037482502,831,4.16
1400000U,6037482503,1003,3.8
1400000U,6037482521,1441,3.49
1400000U,6037482522,1555,2.75
1400000U,6037482600,2168,2.94
1400000U,6037482701,1348,2.82
1400000U,6037482702,875,2.81
1400000U,6037482801,1266,3.21
1400000U,6037500100,1089,3.27
1400000U,6037500202,1473,3.25
1400000U,6037500203,1245,3.22
1400000U,6037500204,916,2.46
1400000U,6037500300,1134,2.53
1400000U,6037500402,1207,3.95
1400000U,6037500403,1095,3.19
1400000U,6037500404,1195,3.49
1400000U,6037500500,833,3.46
1400000U,6037500600,1187,4.45
1400000U,6037500700,1823,3.9
1400000U,6037500800,1290,3.98
1400000U,6037500900,1800,3.07
1400000U,6037501001,742,4.19
1400000U,6037501002,1328,3.37
1400000U,6037501200,1465,3.5
1400000U,6037501301,1087,2.82
1400000U,6037501302,1547,2.84
1400000U,6037501400,1150,2.69
1400000U,6037501501,809,2.5
1400000U,6037501503,1857,2.97
1400000U,6037501504,1462,2.26
1400000U,6037501600,2211,2.86
1400000U,6037501700,1313,2.95
1400000U,6037501802,1235,2.66
1400000U,6037501803,1405,3.45
1400000U,6037501804,719,3.07
1400000U,6037501900,1316,3.27
1400000U,6037502003,710,3.67
1400000U,6037502004,947,4.27
1400000U,6037502005,1207,3.65
1400000U,6037502100,1686,2.79
1400000U,6037502200,1924,3.61
1400000U,6037502303,1939,4.3
1400000U,6037502401,1330,3.78
1400000U,6037502402,960,3.63
1400000U,6037502500,1103,3.57
1400000U,6037502602,1257,3.32
1400000U,6037502603,773,4.2
1400000U,6037502604,1114,3.5
1400000U,6037502700,2008,3.57
1400000U,6037502801,1789,3.6
1400000U,6037502901,1562,3.71
1400000U,6037503000,1379,4.19
1400000U,6037503103,1238,4.5
1400000U,6037503104,679,3.67
1400000U,6037503105,975,3.65
1400000U,6037503106,1151,3.25
1400000U,6037503201,1018,3.84
1400000U,6037503202,1318,3.35
1400000U,6037503301,1093,3.29
1400000U,6037503302,1735,3.37
1400000U,6037503401,2210,3.33
1400000U,6037503402,1257,3.04
1400000U,6037503501,1982,3.6
1400000U,6037503502,1106,3.82
1400000U,6037503601,1226,3.35
1400000U,6037503602,1179,3.48
1400000U,6037503701,1644,2.94
1400000U,6037503702,1701,3.15
1400000U,6037503704,1936,2.25
1400000U,6037503705,1054,2.51
1400000U,6037503801,1212,2.99
1400000U,6037503802,1732,3.03
1400000U,6037503901,703,3.22
1400000U,6037503902,1518,3.53
1400000U,6037504001,1420,2.37
1400000U,6037504002,1475,3.49
1400000U,6037504101,1359,3.61
1400000U,6037504200,2335,3.1
1400000U,6037530005,1251,2.7
1400000U,6037530006,1656,2.95
1400000U,6037530007,2109,3.1
1400000U,6037530101,1684,3.1
1400000U,6037530102,1598,2.81
1400000U,6037530202,1305,3.19
1400000U,6037530203,949,2.65
1400000U,6037530204,1192,3.39
1400000U,6037530301,603,3.59
1400000U,6037530302,1954,3.28
1400000U,6037530400,1167,3.19
1400000U,6037530500,1125,3.63
