"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US06037109604","Census Tract 1096.04; Los Angeles County; California","2938",
"1400000US06037109700","Census Tract 1097; Los Angeles County; California","4389",
"1400000US06037109800","Census Tract 1098; Los Angeles County; California","4679",
"1400000US06037111100","Census Tract 1111; Los Angeles County; California","3047",
"1400000US06037111201","Census Tract 1112.01; Los Angeles County; California","3609",
"1400000US06037111202","Census Tract 1112.02; Los Angeles County; California","5489",
"1400000US06037111204","Census Tract 1112.04; Los Angeles County; California","5865",
"1400000US06037111205","Census Tract 1112.05; Los Angeles County; California","3864",
"1400000US06037111206","Census Tract 1112.06; Los Angeles County; California","4716",
"1400000US06037111302","Census Tract 1113.02; Los Angeles County; California","4633",
"1400000US06037111303","Census Tract 1113.03; Los Angeles County; California","4429",
"1400000US06037111304","Census Tract 1113.04; Los Angeles County; California","3359",
"1400000US06037111401","Census Tract 1114.01; Los Angeles County; California","2406",
"1400000US06037111402","Census Tract 1114.02; Los Angeles County; California","5333",
"1400000US06037113101","Census Tract 1131.01; Los Angeles County; California","3461",
"1400000US06037113102","Census Tract 1131.02; Los Angeles County; California","2971",
"1400000US06037113211","Census Tract 1132.11; Los Angeles County; California","4275",
"1400000US06037113212","Census Tract 1132.12; Los Angeles County; California","3211",
"1400000US06037113213","Census Tract 1132.13; Los Angeles County; California","4589",
"1400000US06037113231","Census Tract 1132.31; Los Angeles County; California","2254",
"1400000US06037113232","Census Tract 1132.32; Los Angeles County; California","4297",
"1400000US06037113234","Census Tract 1132.34; Los Angeles County; California","4542",
"1400000US06037113235","Census Tract 1132.35; Los Angeles County; California","1815",
"1400000US06037113237","Census Tract 1132.37; Los Angeles County; California","3921",
"1400000US06037113238","Census Tract 1132.38; Los Angeles County; California","5182",
"1400000US06037113239","Census Tract 1132.39; Los Angeles County; California","2259",
"1400000US06037113301","Census Tract 1133.01; Los Angeles County; California","3655",
"1400000US06037113303","Census Tract 1133.03; Los Angeles County; California","4160",
"1400000US06037113322","Census Tract 1133.22; Los Angeles County; California","4251",
"1400000US06037113323","Census Tract 1133.23; Los Angeles County; California","3927",
"1400000US06037113324","Census Tract 1133.24; Los Angeles County; California","2072",
"1400000US06037113423","Census Tract 1134.23; Los Angeles County; California","2639",
"1400000US06037113424","Census Tract 1134.24; Los Angeles County; California","3613",
"1400000US06037113425","Census Tract 1134.25; Los Angeles County; California","4020",
"1400000US06037113426","Census Tract 1134.26; Los Angeles County; California","2479",
"1400000US06037113427","Census Tract 1134.27; Los Angeles County; California","3024",
"1400000US06037113428","Census Tract 1134.28; Los Angeles County; California","3397",
"1400000US06037115101","Census Tract 1151.01; Los Angeles County; California","5112",
"1400000US06037115103","Census Tract 1151.03; Los Angeles County; California","2345",
"1400000US06037115104","Census Tract 1151.04; Los Angeles County; California","4409",
"1400000US06037115202","Census Tract 1152.02; Los Angeles County; California","5189",
"1400000US06037115203","Census Tract 1152.03; Los Angeles County; California","2793",
"1400000US06037115204","Census Tract 1152.04; Los Angeles County; California","4228",
"1400000US06037115301","Census Tract 1153.01; Los Angeles County; California","4236",
"1400000US06037115302","Census Tract 1153.02; Los Angeles County; California","4044",
"1400000US06037115401","Census Tract 1154.01; Los Angeles County; California","5980",
"1400000US06037115403","Census Tract 1154.03; Los Angeles County; California","3245",
"1400000US06037115404","Census Tract 1154.04; Los Angeles County; California","2956",
"1400000US06037117101","Census Tract 1171.01; Los Angeles County; California","5195",
"1400000US06037117102","Census Tract 1171.02; Los Angeles County; California","2733",
"1400000US06037117201","Census Tract 1172.01; Los Angeles County; California","4514",
"1400000US06037117202","Census Tract 1172.02; Los Angeles County; California","2711",
"1400000US06037117301","Census Tract 1173.01; Los Angeles County; California","3917",
"1400000US06037117302","Census Tract 1173.02; Los Angeles County; California","5414",
"1400000US06037117303","Census Tract 1173.03; Los Angeles County; California","3647",
"1400000US06037117404","Census Tract 1174.04; Los Angeles County; California","4548",
"1400000US06037117405","Census Tract 1174.05; Los Angeles County; California","3364",
"1400000US06037117407","Census Tract 1174.07; Los Angeles County; California","3482",
"1400000US06037117408","Census Tract 1174.08; Los Angeles County; California","2843",
"1400000US06037117510","Census Tract 1175.10; Los Angeles County; California","4181",
"1400000US06037117520","Census Tract 1175.20; Los Angeles County; California","3961",
"1400000US06037117530","Census Tract 1175.30; Los Angeles County; California","5888",
"1400000US06037119001","Census Tract 1190.01; Los Angeles County; California","4024",
"1400000US06037119003","Census Tract 1190.03; Los Angeles County; California","3893",
"1400000US06037119004","Census Tract 1190.04; Los Angeles County; California","2830",
"1400000US06037119201","Census Tract 1192.01; Los Angeles County; California","3866",
"1400000US06037119202","Census Tract 1192.02; Los Angeles County; California","4394",
"1400000US06037119310","Census Tract 1193.10; Los Angeles County; California","3983",
"1400000US06037119320","Census Tract 1193.20; Los Angeles County; California","4793",
"1400000US06037119340","Census Tract 1193.40; Los Angeles County; California","3600",
"1400000US06037119341","Census Tract 1193.41; Los Angeles County; California","2867",
"1400000US06037119342","Census Tract 1193.42; Los Angeles County; California","3076",
"1400000US06037119400","Census Tract 1194; Los Angeles County; California","4881",
"1400000US06037119700","Census Tract 1197; Los Angeles County; California","4893",
"1400000US06037119801","Census Tract 1198.01; Los Angeles County; California","2933",
"1400000US06037119802","Census Tract 1198.02; Los Angeles County; California","3016",
"1400000US06037119900","Census Tract 1199; Los Angeles County; California","4774",
"1400000US06037120010","Census Tract 1200.10; Los Angeles County; California","2892",
"1400000US06037120020","Census Tract 1200.20; Los Angeles County; California","4037",
"1400000US06037120030","Census Tract 1200.30; Los Angeles County; California","2591",
"1400000US06037120103","Census Tract 1201.03; Los Angeles County; California","3123",
"1400000US06037120104","Census Tract 1201.04; Los Angeles County; California","2327",
"1400000US06037120105","Census Tract 1201.05; Los Angeles County; California","2855",
"1400000US06037120106","Census Tract 1201.06; Los Angeles County; California","4377",
"1400000US06037120107","Census Tract 1201.07; Los Angeles County; California","3760",
"1400000US06037120108","Census Tract 1201.08; Los Angeles County; California","5263",
"1400000US06037120300","Census Tract 1203; Los Angeles County; California","5550",
"1400000US06037120400","Census Tract 1204; Los Angeles County; California","6614",
